type,dim,n,k,time
dumb,1,1000,10,19277
dumb,2,1000,10,27098
dumb,3,1000,10,35193
dumb,4,1000,10,44940
dumb,5,1000,10,53387
dumb,6,1000,10,62722
dumb,7,1000,10,70568
dumb,1,2000,10,36732
dumb,2,2000,10,51700
dumb,3,2000,10,64996
dumb,4,2000,10,83036
dumb,5,2000,10,102788
dumb,6,2000,10,118106
dumb,7,2000,10,144014
dumb,1,3000,10,56824
dumb,2,3000,10,75788
dumb,3,3000,10,95129
dumb,4,3000,10,126518
dumb,5,3000,10,151875
dumb,6,3000,10,174767
dumb,7,3000,10,196474
dumb,1,4000,10,70892
dumb,2,4000,10,99446
dumb,3,4000,10,123490
dumb,4,4000,10,160881
dumb,5,4000,10,196859
dumb,6,4000,10,238032
dumb,7,4000,10,266093
dumb,1,5000,10,90054
dumb,2,5000,10,123318
dumb,3,5000,10,157221
dumb,4,5000,10,206141
dumb,5,5000,10,249710
dumb,6,5000,10,292763
dumb,7,5000,10,325286
dumb,1,6000,10,104893
dumb,2,6000,10,148682
dumb,3,6000,10,192608
dumb,4,6000,10,244442
dumb,5,6000,10,296425
dumb,6,6000,10,347778
dumb,7,6000,10,390132
dumb,1,7000,10,125831
dumb,2,7000,10,176315
dumb,3,7000,10,220935
dumb,4,7000,10,287696
dumb,5,7000,10,349243
dumb,6,7000,10,407459
dumb,7,7000,10,454628
dumb,1,8000,10,141500
dumb,2,8000,10,201680
dumb,3,8000,10,253844
dumb,4,8000,10,324346
dumb,5,8000,10,395627
dumb,6,8000,10,466664
dumb,7,8000,10,525323
dumb,1,9000,10,160022
dumb,2,9000,10,227516
dumb,3,9000,10,280577
dumb,4,9000,10,369052
dumb,5,9000,10,451984
dumb,6,9000,10,523756
dumb,7,9000,10,578979
dumb,1,10000,10,175563
dumb,2,10000,10,246481
dumb,3,10000,10,309749
dumb,4,10000,10,400101
dumb,5,10000,10,500728
dumb,6,10000,10,571906
dumb,7,10000,10,640441
dumb,1,1000,20,21542
dumb,2,1000,20,30909
dumb,3,1000,20,37931
dumb,4,1000,20,50319
dumb,5,1000,20,59285
dumb,6,1000,20,69908
dumb,7,1000,20,78412
