Test, Threshold/size, Time
MergesortThresholdTest,10,102221488
MergesortThresholdTest,10,84359747
MergesortThresholdTest,10010,1093081127
MergesortThresholdTest,30010,4304168126
MergesortThresholdTest,60010,8531445634
MergesortThresholdTest,100010,17622779361
QuickSortEndAverageCase,100,68588
QuickSortMiddleAverageCase,100,48895
QuickSortEndAverageCase,1100,2066803
QuickSortMiddleAverageCase,1100,791450
QuickSortEndAverageCase,2100,2971377
QuickSortMiddleAverageCase,2100,548043
QuickSortEndAverageCase,3100,6281186
QuickSortMiddleAverageCase,3100,792845
QuickSortEndAverageCase,4100,11650733
QuickSortMiddleAverageCase,4100,1067915
QuickSortEndAverageCase,5100,18186574
QuickSortMiddleAverageCase,5100,1395654
QuickSortEndAverageCase,6100,26507601
QuickSortMiddleAverageCase,6100,280589
QuickSortEndAverageCase,7100,7224380
QuickSortMiddleAverageCase,7100,309458
QuickSortEndAverageCase,8100,9212293
QuickSortMiddleAverageCase,8100,360236
QuickSortEndAverageCase,9100,11365887
QuickSortMiddleAverageCase,9100,392212
QuickSortEndAverageCase,10100,14229867
QuickSortMiddleAverageCase,10100,458257
QuickSortEndAverageCase,11100,17042540
QuickSortMiddleAverageCase,11100,530123
QuickSortEndAverageCase,12100,20277901
QuickSortMiddleAverageCase,12100,576881
QuickSortEndAverageCase,13100,23229155
QuickSortMiddleAverageCase,13100,608992
QuickSortEndAverageCase,14100,26668997
QuickSortMiddleAverageCase,14100,651248
QuickSortEndAverageCase,15100,31096373
QuickSortMiddleAverageCase,15100,698737
QuickSortEndAverageCase,16100,35131452
QuickSortMiddleAverageCase,16100,793032
QuickSortEndAverageCase,17100,39861283
QuickSortMiddleAverageCase,17100,797819
QuickSortEndAverageCase,18100,44854221
QuickSortMiddleAverageCase,18100,933727
QuickSortEndAverageCase,19100,49606882
QuickSortMiddleAverageCase,19100,892394
QuickSortEndAverageCase,20100,54603955
QuickSortMiddleAverageCase,20100,1013087
QuickSortEndAverageCase,21100,60312283
QuickSortMiddleAverageCase,21100,1062746
QuickSortEndAverageCase,22100,65743550
QuickSortMiddleAverageCase,22100,1113615
QuickSortEndAverageCase,23100,72601439
QuickSortMiddleAverageCase,23100,1245145
QuickSortEndAverageCase,24100,77821328
QuickSortMiddleAverageCase,24100,1196864
QuickSortEndAverageCase,25100,85186980
QuickSortMiddleAverageCase,25100,1310005
QuickSortEndAverageCase,26100,92927823
QuickSortMiddleAverageCase,26100,1297973
QuickSortEndAverageCase,27100,98347064
QuickSortMiddleAverageCase,27100,1382069
QuickSortEndAverageCase,28100,107517589
QuickSortMiddleAverageCase,28100,1394967
QuickSortEndAverageCase,29100,113421377
QuickSortMiddleAverageCase,29100,1437023
