,,,,,,
Size ,125 iterations,250 iterations,500 iterations,1000 iterations,,
1024,4778.472,3490.304,2531.536,1363.394,,
2048,3822.544,1540.112,940.956,638.675,,
4096,2343.608,1293.336,964.428,508.034,,
8192,2088.76,1295.92,1379.9,744.893,,
16384,2590.696,1825.928,1191.472,623.399,,
32768,3068.864,2769.648,1270.292,915.16,,
65536,3288.544,3372.904,1739.814,1190.82,,
131072,3792.264,2939.32,2139.78,1574.867,,
262144,5868.504,2727.436,2647.582,2080.195,,
524288,7540.24,3323.32,3445.326,2868.69,,
1048576,8706.672,3931.408,3040.572,2963.214,,
