Test, Size, Time
Middle Pivot - Worst Case,100,462931
Random Pivot - Worst Case,100,429813
End Pivot - Worst Case,100,144955
Mergesort - Best Case,100,79107
Mergesort - Average Case,100,42848
Mergesort - Worst Case,100,38385
Middle Pivot - Worst Case,50100,13908248
Random Pivot - Worst Case,50100,28196222
End Pivot - Worst Case,50100,15542228
Mergesort - Best Case,50100,19066881
Mergesort - Average Case,50100,12871242
Mergesort - Worst Case,50100,6661732
Middle Pivot - Worst Case,100100,19845150
Random Pivot - Worst Case,100100,27763886
End Pivot - Worst Case,100100,4793221
Mergesort - Best Case,100100,12463019
Mergesort - Average Case,100100,22904339
Mergesort - Worst Case,100100,7778176
Middle Pivot - Worst Case,150100,5642136
Random Pivot - Worst Case,150100,26710950
End Pivot - Worst Case,150100,6571570
Mergesort - Best Case,150100,12188190
Mergesort - Average Case,150100,52678792
Mergesort - Worst Case,150100,15576855
Middle Pivot - Worst Case,200100,8335193
Random Pivot - Worst Case,200100,32922308
End Pivot - Worst Case,200100,9904945
Mergesort - Best Case,200100,19815022
Mergesort - Average Case,200100,19840921
Mergesort - Worst Case,200100,19491849
Middle Pivot - Worst Case,250100,9606590
Random Pivot - Worst Case,250100,41793915
End Pivot - Worst Case,250100,11574443
Mergesort - Best Case,250100,23157019
Mergesort - Average Case,250100,23998048
Mergesort - Worst Case,250100,23140750
Middle Pivot - Worst Case,300100,13864458
Random Pivot - Worst Case,300100,49691996
End Pivot - Worst Case,300100,13680367
Mergesort - Best Case,300100,27919306
Mergesort - Average Case,300100,28094386
Mergesort - Worst Case,300100,27319274
Middle Pivot - Worst Case,350100,14716765
Random Pivot - Worst Case,350100,59058568
End Pivot - Worst Case,350100,17282850
Mergesort - Best Case,350100,39930329
Mergesort - Average Case,350100,39377031
Mergesort - Worst Case,350100,37728646
Middle Pivot - Worst Case,400100,17253304
Random Pivot - Worst Case,400100,70366747
End Pivot - Worst Case,400100,19609106
Mergesort - Best Case,400100,43004535
Mergesort - Average Case,400100,46666781
Mergesort - Worst Case,400100,44521507
Middle Pivot - Worst Case,450100,19421461
Random Pivot - Worst Case,450100,80603919
End Pivot - Worst Case,450100,21717148
Mergesort - Best Case,450100,50627490
Mergesort - Average Case,450100,52109397
Mergesort - Worst Case,450100,49970234
Middle Pivot - Worst Case,500100,18750884
Random Pivot - Worst Case,500100,86465316
End Pivot - Worst Case,500100,22780666
Mergesort - Best Case,500100,53572773
Mergesort - Average Case,500100,58357806
Mergesort - Worst Case,500100,54256862
Middle Pivot - Worst Case,550100,22785707
Random Pivot - Worst Case,550100,95671881
End Pivot - Worst Case,550100,25152326
Mergesort - Best Case,550100,59428817
Mergesort - Average Case,550100,61189103
Mergesort - Worst Case,550100,59142803
Middle Pivot - Worst Case,600100,23179839
Random Pivot - Worst Case,600100,104348717
End Pivot - Worst Case,600100,28167315
Mergesort - Best Case,600100,66193925
Mergesort - Average Case,600100,67111923
Mergesort - Worst Case,600100,64550658
Middle Pivot - Worst Case,650100,29381321
Random Pivot - Worst Case,650100,114720952
End Pivot - Worst Case,650100,31197774
Mergesort - Best Case,650100,81787128
Mergesort - Average Case,650100,88111339
Mergesort - Worst Case,650100,81191531
Middle Pivot - Worst Case,700100,30879765
Random Pivot - Worst Case,700100,125285323
End Pivot - Worst Case,700100,35380356
Mergesort - Best Case,700100,88301468
Mergesort - Average Case,700100,92141167
Mergesort - Worst Case,700100,87323540
Middle Pivot - Worst Case,750100,32919500
Random Pivot - Worst Case,750100,133367769
End Pivot - Worst Case,750100,37388260
Mergesort - Best Case,750100,137400056
Mergesort - Average Case,750100,99657204
Mergesort - Worst Case,750100,96874920
Middle Pivot - Worst Case,800100,34075220
Random Pivot - Worst Case,800100,143679820
End Pivot - Worst Case,800100,39652440
Mergesort - Best Case,800100,98801227
Mergesort - Average Case,800100,105422643
Mergesort - Worst Case,800100,100495714
Middle Pivot - Worst Case,850100,40196156
Random Pivot - Worst Case,850100,153593406
End Pivot - Worst Case,850100,43115254
Mergesort - Best Case,850100,110300774
Mergesort - Average Case,850100,110796408
Mergesort - Worst Case,850100,106047717
Middle Pivot - Worst Case,900100,39877970
Random Pivot - Worst Case,900100,166185376
End Pivot - Worst Case,900100,47216968
Mergesort - Best Case,900100,118138643
Mergesort - Average Case,900100,120539250
Mergesort - Worst Case,900100,116761138
Middle Pivot - Worst Case,950100,44679733
Random Pivot - Worst Case,950100,177687562
End Pivot - Worst Case,950100,47129181
Mergesort - Best Case,950100,121331962
Mergesort - Average Case,950100,123491491
Mergesort - Worst Case,950100,120337260
Middle Pivot - Worst Case,1000100,42367276
