Test, threshold, Size, Time
Threshold Test - 10,10,200000,140505619
Threshold Test - 10,10,200000,67644354
Threshold Test - 10,10,210000,70806354
Threshold Test - 10,10,230000,77993767
Threshold Test - 10,10,260000,89191712
Threshold Test - 10,10,300000,103323822
Threshold Test - 100,100,200000,124928233
Threshold Test - 100,100,200000,125985218
Threshold Test - 100,100,210000,96612548
Threshold Test - 100,100,230000,107039941
Threshold Test - 100,100,260000,132087701
Threshold Test - 100,100,300000,164887446
Threshold Test - 1,1000,200000,686113622
Threshold Test - 1,1000,200000,671868589
Threshold Test - 1,1000,210000,738668971
Threshold Test - 1,1000,230000,883839434
Threshold Test - 1,1000,260000,583639179
Threshold Test - 1,1000,300000,764384005
Threshold Test - 10,10000,200000,5203248340
Threshold Test - 10,10000,200000,5115636224
Threshold Test - 10,20000,200000,10313736064
Threshold Test - 10,40000,200000,20538480162
Threshold Test - 10,70000,200000,40894334948
Threshold Test - 10,110000,200000,81845105560
Threshold Test - 100,100000,200000,82028302762
Threshold Test - 100,100000,200000,81895279954
Threshold Test - 100,110000,200000,82372972083
Threshold Test - 100,130000,200000,82770767477
Threshold Test - 100,160000,200000,82011035818
Threshold Test - 100,200000,200000,163774279461
