Test,Size,Time
Middle Pivot - Worst Case,100,512011
Random Pivot - Worst Case,100,518007
End Pivot - Worst Case,100,137885
Middle Pivot - Worst Case,1100,721488
Random Pivot - Worst Case,1100,621312
End Pivot - Worst Case,1100,421437
Middle Pivot - Worst Case,2100,344740
Random Pivot - Worst Case,2100,358398
End Pivot - Worst Case,2100,357490
Middle Pivot - Worst Case,3100,544114
Random Pivot - Worst Case,3100,589243
End Pivot - Worst Case,3100,597124
Middle Pivot - Worst Case,4100,1117325
Random Pivot - Worst Case,4100,735823
End Pivot - Worst Case,4100,893967
Middle Pivot - Worst Case,5100,887616
Random Pivot - Worst Case,5100,1103079
End Pivot - Worst Case,5100,982567
Middle Pivot - Worst Case,6100,1128376
Random Pivot - Worst Case,6100,1197346
End Pivot - Worst Case,6100,1352060
Middle Pivot - Worst Case,7100,1272039
Random Pivot - Worst Case,7100,1419678
End Pivot - Worst Case,7100,1465638
Middle Pivot - Worst Case,8100,1454247
Random Pivot - Worst Case,8100,1549091
End Pivot - Worst Case,8100,1607112
Middle Pivot - Worst Case,9100,1667243
Random Pivot - Worst Case,9100,1795013
End Pivot - Worst Case,9100,1778562
Middle Pivot - Worst Case,10100,1843152
Random Pivot - Worst Case,10100,2010079
End Pivot - Worst Case,10100,1970272
Middle Pivot - Worst Case,11100,2660508
Random Pivot - Worst Case,11100,2978802
End Pivot - Worst Case,11100,2590531
Middle Pivot - Worst Case,12100,2594708
Random Pivot - Worst Case,12100,3023308
End Pivot - Worst Case,12100,2491887
Middle Pivot - Worst Case,13100,907085
Random Pivot - Worst Case,13100,628370
End Pivot - Worst Case,13100,643399
Middle Pivot - Worst Case,14100,402081
Random Pivot - Worst Case,14100,600457
End Pivot - Worst Case,14100,557958
Middle Pivot - Worst Case,15100,449324
Random Pivot - Worst Case,15100,662722
End Pivot - Worst Case,15100,646875
Middle Pivot - Worst Case,16100,459149
Random Pivot - Worst Case,16100,752765
End Pivot - Worst Case,16100,796968
Middle Pivot - Worst Case,17100,502637
Random Pivot - Worst Case,17100,737476
End Pivot - Worst Case,17100,748771
Middle Pivot - Worst Case,18100,550977
Random Pivot - Worst Case,18100,854877
End Pivot - Worst Case,18100,799097
Middle Pivot - Worst Case,19100,725054
Random Pivot - Worst Case,19100,929426
End Pivot - Worst Case,19100,913314
Middle Pivot - Worst Case,20100,612107
Random Pivot - Worst Case,20100,875939
End Pivot - Worst Case,20100,862495
Middle Pivot - Worst Case,21100,651927
Random Pivot - Worst Case,21100,952789
End Pivot - Worst Case,21100,838789
Middle Pivot - Worst Case,22100,686397
Random Pivot - Worst Case,22100,1044554
End Pivot - Worst Case,22100,879447
Middle Pivot - Worst Case,23100,1079737
Random Pivot - Worst Case,23100,1297051
End Pivot - Worst Case,23100,1503826
Middle Pivot - Worst Case,24100,991457
Random Pivot - Worst Case,24100,1491024
End Pivot - Worst Case,24100,1117523
Middle Pivot - Worst Case,25100,796566
Random Pivot - Worst Case,25100,1250802
End Pivot - Worst Case,25100,905490
Middle Pivot - Worst Case,26100,826370
Random Pivot - Worst Case,26100,897638
End Pivot - Worst Case,26100,864316
Middle Pivot - Worst Case,27100,867973
Random Pivot - Worst Case,27100,950990
End Pivot - Worst Case,27100,838322
Middle Pivot - Worst Case,28100,861297
Random Pivot - Worst Case,28100,927365
End Pivot - Worst Case,28100,819661
Middle Pivot - Worst Case,29100,889848
Random Pivot - Worst Case,29100,976388
End Pivot - Worst Case,29100,879140
Middle Pivot - Worst Case,30100,1013796
Random Pivot - Worst Case,30100,999683
End Pivot - Worst Case,30100,907151
Middle Pivot - Worst Case,31100,956353
Random Pivot - Worst Case,31100,933060
End Pivot - Worst Case,31100,931223
